run_id,batch_size,seq_len,l2_norm_clean,l2_norm_faulty,max_value_clean,max_value_faulty,entropy_clean,entropy_faulty,latency_clean,latency_protected,latency_overhead,recovery_success,recovery_error,fault_index,original_value,faulty_value,l2_deviation
1,8,32,15.78702449798584,16.114526748657227,0.3707968592643738,3.2324185371398926,3494.311279296875,3494.311279296875,0.0054666996002197266,0.004407167434692383,-0.19381569191853112,True,0.0,"(7, 8, 91)",-0.027435526251792908,3.2324185371398926,3.2598540782928467
2,8,32,15.049762725830078,16.57326889038086,0.28714799880981445,6.941496849060059,3492.40771484375,3492.40771484375,0.0017664432525634766,0.0036916732788085938,1.0898906735051963,True,0.0,"(1, 12, 33)",0.07956581562757492,-6.941496849060059,7.021062850952148
3,8,32,16.036090850830078,17.213682174682617,0.28614190220832825,6.257410526275635,3492.536865234375,3492.536865234375,0.0016672611236572266,0.0035648345947265625,1.1381381381381381,True,0.0,"(4, 23, 94)",0.021188462153077126,-6.257410526275635,6.278598785400391
4,8,32,15.413084983825684,15.522570610046387,0.3493692874908447,1.8404325246810913,3494.4970703125,3494.4970703125,0.0018463134765625,0.0036971569061279297,1.0024535123966942,True,0.0,"(1, 18, 101)",0.012680543586611748,1.8404325246810913,1.8277519941329956
5,8,32,15.057530403137207,16.55805778503418,0.3308343291282654,6.8876800537109375,3493.345458984375,3493.345458984375,0.0016264915466308594,0.003865480422973633,1.3765757842274993,True,0.0,"(4, 25, 52)",0.014106715098023415,-6.8876800537109375,6.901786804199219
6,8,64,18.875463485717773,18.945663452148438,0.3071221113204956,1.6319016218185425,8403.078125,8403.078125,0.0043528079986572266,0.004686117172241211,0.0765733691186942,True,0.0,"(3, 42, 87)",0.08962453156709671,1.6319016218185425,1.5422770977020264
7,8,64,18.965572357177734,19.42831802368164,0.2943043112754822,4.2151265144348145,8402.1416015625,8402.1416015625,0.002401113510131836,0.004967212677001953,1.068712143779168,True,0.0,"(0, 34, 7)",-0.025814436376094818,4.2151265144348145,4.240941047668457
8,8,64,18.868694305419922,19.21184730529785,0.2890721559524536,3.6159868240356445,8400.8828125,8400.8828125,0.002352476119995117,0.005050182342529297,1.1467517989257119,True,0.0,"(7, 15, 6)",0.08936545252799988,3.6159868240356445,3.5266213417053223
9,8,64,18.351295471191406,20.951889038085938,0.2869619131088257,10.10998249053955,8403.1220703125,8403.1220703125,0.0019648075103759766,0.004241466522216797,1.1587186021113942,True,0.0,"(7, 50, 113)",0.008961185812950134,-10.10998249053955,10.118943214416504
10,8,64,18.811153411865234,18.891115188598633,0.2594795823097229,1.737221121788025,8405.810546875,8405.810546875,0.001466512680053711,0.0033416748046875,1.278653877418306,True,0.0,"(6, 54, 42)",0.05626002699136734,1.737221121788025,1.6809611320495605
11,8,128,24.92060089111328,25.423290252685547,0.2390451431274414,5.030782699584961,19640.6484375,19640.6484375,0.0056841373443603516,0.0070781707763671875,0.24524977979111615,True,0.0,"(1, 86, 74)",-0.03993978723883629,5.030782699584961,5.070722579956055
12,8,128,24.318227767944336,24.666004180908203,0.2145184874534607,4.127877235412598,19642.291015625,19642.291015625,0.0036830902099609375,0.007361650466918945,0.9987700673226307,True,0.0,"(5, 101, 114)",-0.06206251308321953,-4.127877235412598,4.06581449508667
13,8,128,23.883649826049805,24.80914878845215,0.2206467092037201,6.713682651519775,19640.548828125,19640.548828125,0.0033969879150390625,0.006259918212890625,0.8427849522740034,True,0.0,"(1, 113, 126)",0.09105829894542694,6.713682651519775,6.622624397277832
14,8,128,24.366758346557617,24.367563247680664,0.23203730583190918,0.23203730583190918,19644.341796875,19644.341796875,0.0029320716857910156,0.007147789001464844,1.4377947633761587,True,0.0,"(3, 97, 115)",-0.022897057235240936,-0.19927635788917542,0.17637929320335388
15,8,128,24.358909606933594,24.743770599365234,0.22942058742046356,4.3487935066223145,19642.560546875,19642.560546875,0.0026483535766601562,0.00729823112487793,1.7557616132517104,True,0.0,"(3, 106, 107)",0.12037518620491028,4.3487935066223145,4.228418350219727
16,16,32,22.68667984008789,22.73488426208496,0.36809036135673523,1.479724407196045,6982.462890625,6982.462890625,0.0016138553619384766,0.003363370895385742,1.0840596838528587,True,0.0,"(13, 15, 119)",-0.008601140230894089,1.479724407196045,1.488325595855713
17,16,32,21.889684677124023,21.936674118041992,0.32395678758621216,1.435890793800354,6988.02734375,6988.02734375,0.0014069080352783203,0.0032148361206054688,1.2850364345026266,True,0.0,"(15, 2, 116)",0.04874188452959061,1.435890793800354,1.3871488571166992
18,16,32,22.089529037475586,23.070693969726562,0.34593361616134644,6.6566996574401855,6984.634765625,6984.634765625,0.0013167858123779297,0.003100872039794922,1.3548795944233207,True,0.0,"(8, 10, 13)",0.046386219561100006,6.6566996574401855,6.610313415527344
19,16,32,21.432580947875977,22.050168991088867,0.2979236841201782,5.183854579925537,6988.3447265625,6988.3447265625,0.0013458728790283203,0.0030753612518310547,1.2850310008857395,True,0.0,"(4, 9, 40)",0.13388091325759888,5.183854579925537,5.049973487854004
20,16,32,21.626279830932617,22.966777801513672,0.38268154859542847,7.731553554534912,6985.3544921875,6985.3544921875,0.0014369487762451172,0.003139495849609375,1.1848349095735855,True,0.0,"(12, 31, 86)",0.011306121945381165,-7.731553554534912,7.742859840393066
21,16,64,26.871042251586914,26.902000427246094,0.26261207461357117,1.2910209894180298,16807.822265625,16807.822265625,0.0021407604217529297,0.004748344421386719,1.2180643724245461,True,0.0,"(1, 52, 69)",-0.04597647860646248,1.2910209894180298,1.3369975090026855
22,16,64,26.10544776916504,26.13544273376465,0.2515941858291626,1.2521991729736328,16807.09765625,16807.09765625,0.002269268035888672,0.006215572357177734,1.7390208026896408,True,0.0,"(8, 46, 117)",-0.03199619799852371,1.2521991729736328,1.2841954231262207
23,16,64,26.484346389770508,26.602495193481445,0.2487582564353943,2.506185293197632,16805.0390625,16805.0390625,0.0034193992614746094,0.004966259002685547,0.4523776321294101,True,0.0,"(12, 20, 83)",0.0938284695148468,2.506185293197632,2.4123568534851074
24,16,64,27.010744094848633,27.699363708496094,0.2874819338321686,6.137956619262695,16804.3828125,16804.3828125,0.00217437744140625,0.005078315734863281,1.3355263157894737,True,0.0,"(8, 0, 47)",-0.002006635069847107,-6.137956619262695,6.135950088500977
25,16,64,26.0757999420166,28.668224334716797,0.24701052904129028,11.913176536560059,16805.423828125,16805.423828125,0.0018990039825439453,0.004023313522338867,1.11864406779661,True,0.0,"(7, 33, 121)",-0.05906392261385918,11.913176536560059,11.972240447998047
26,16,128,33.87629318237305,33.9007453918457,0.22510862350463867,1.2879894971847534,39285.35546875,39285.35546875,0.006521463394165039,0.01100015640258789,0.6867619639527657,True,0.0,"(4, 7, 104)",0.04029890149831772,-1.2879894971847534,1.3282884359359741
27,16,128,33.8637809753418,34.09223175048828,0.24654638767242432,3.9401557445526123,39288.125,39288.125,0.005364418029785156,0.009492158889770508,0.7694666666666666,True,0.0,"(9, 44, 36)",0.00668121874332428,3.9401557445526123,3.933474540710449
28,16,128,33.634525299072266,34.022701263427734,0.24701204895973206,5.125396728515625,39289.15234375,39289.15234375,0.006189107894897461,0.010718822479248047,0.7318848954119959,True,0.0,"(0, 123, 26)",0.07945777475833893,5.125396728515625,5.045938968658447
29,16,128,35.000450134277344,35.05253601074219,0.22077828645706177,1.9111368656158447,39281.9609375,39281.9609375,0.004721164703369141,0.010122299194335938,1.144025855974144,True,0.0,"(11, 84, 107)",0.05877634510397911,-1.9111368656158447,1.9699132442474365
30,16,128,34.19908142089844,34.204647064208984,0.24813196063041687,0.6210119128227234,39287.6953125,39287.6953125,0.006233692169189453,0.009770631790161133,0.5673908054769372,True,0.0,"(1, 126, 51)",-0.07198090106248856,-0.6210119128227234,0.5490310192108154
31,32,32,30.92423439025879,31.105472564697266,0.32179778814315796,3.352926254272461,13973.482421875,13973.482421875,0.002645730972290039,0.00462651252746582,0.7486708119311526,True,0.0,"(29, 30, 75)",-0.001404501497745514,-3.352926254272461,3.3515217304229736
32,32,32,31.067764282226562,31.93612289428711,0.3428298532962799,7.396679401397705,13970.4609375,13970.4609375,0.0017952919006347656,0.004172325134277344,1.3240371845949535,True,0.0,"(1, 14, 96)",0.004544317722320557,-7.396679401397705,7.401223659515381
33,32,32,31.225732803344727,31.389081954956055,0.36674582958221436,3.199415922164917,13968.05859375,13968.05859375,0.0019221305847167969,0.0044231414794921875,1.3011659637806996,True,0.0,"(17, 8, 30)",-0.08790892362594604,3.199415922164917,3.287324905395508
34,32,32,30.61859130859375,32.1922492980957,0.3210342228412628,9.94218635559082,13971.984375,13971.984375,0.002100706100463867,0.00431513786315918,1.0541368743615935,True,0.0,"(0, 13, 115)",0.05800878629088402,9.94218635559082,9.884177207946777
35,32,32,30.22395896911621,30.245594024658203,0.3532993197441101,1.144885540008545,13971.955078125,13971.955078125,0.002042531967163086,0.004153013229370117,1.0332671880471578,True,0.0,"(1, 25, 59)",0.05000590160489082,1.144885540008545,1.0948796272277832
36,32,64,37.38029861450195,37.380889892578125,0.2911764681339264,0.2911764681339264,33616.01171875,33616.01171875,0.003654003143310547,0.008013248443603516,1.1930053503849667,True,0.0,"(30, 34, 76)",0.03136696293950081,-0.21248672902584076,0.24385368824005127
37,32,64,37.213043212890625,37.238285064697266,0.28472402691841125,1.373166799545288,33609.96484375,33609.96484375,0.0043375492095947266,0.00891256332397461,1.0547463310064311,True,0.0,"(23, 27, 126)",0.08055904507637024,1.373166799545288,1.2926077842712402
38,32,64,37.40800094604492,37.4367790222168,0.29006099700927734,1.4677505493164062,33612.2109375,33612.2109375,0.0035734176635742188,0.008933782577514648,1.500066720042701,True,0.0,"(22, 17, 119)",-0.02022675983607769,1.4677505493164062,1.4879772663116455
