run_id,batch_size,seq_len,l2_clean,l2_recovered,recovery_success,recovery_error,latency_clean,latency_protected,latency_overhead
1,8,32,15.664044380187988,15.664044380187988,True,0.0,0.0015938544273376464,0.0014057528972625732,-0.11801675664274783
2,8,32,16.238269805908203,16.238269805908203,True,0.0,0.0013925707340240478,0.0013675951957702636,-0.0179348435548502
3,8,32,16.109891891479492,16.109891891479492,True,0.0,0.0013489341735839844,0.0013431048393249512,-0.0043214371562292
4,8,32,15.41242504119873,15.41242504119873,True,0.0,0.0013427209854125976,0.0013759183883666993,0.024723977143993676
5,8,32,16.41387939453125,16.41387939453125,True,0.0,0.0013661813735961915,0.0013886713981628418,0.0164619610553246
6,8,64,19.332138061523438,19.332138061523438,True,0.0,0.0018662083148956298,0.0018739640712738038,0.004155889948763697
7,8,64,19.89447784423828,19.89447784423828,True,0.0,0.0019650030136108398,0.0018706750869750977,-0.04800396029032416
8,8,64,19.208967208862305,19.208967208862305,True,0.0,0.0018559169769287109,0.001886134147644043,0.01628153149681161
9,8,64,19.21446418762207,19.21446418762207,True,0.0,0.0019157123565673828,0.0018761873245239258,-0.020632028554787227
10,8,64,19.8712158203125,19.8712158203125,True,0.0,0.001840486526489258,0.0018273186683654785,-0.007154552850162505
11,8,128,25.096473693847656,25.096473693847656,True,0.0,0.0031494593620300295,0.0030023515224456786,-0.04670891815842653
12,8,128,26.14010238647461,26.14010238647461,True,0.0,0.0031311583518981935,0.0034008574485778808,0.08613396908405743
13,8,128,25.80992889404297,25.80992889404297,True,0.0,0.0031987810134887695,0.0030818772315979004,-0.03654635356340549
14,8,128,25.128000259399414,25.128000259399414,True,0.0,0.00321696400642395,0.003369426727294922,0.04739335614775895
15,8,128,24.47599983215332,24.47599983215332,True,0.0,0.0030576133728027343,0.0029848623275756836,-0.02379340889667945
16,16,32,21.234214782714844,21.234214782714844,True,0.0,0.0016888070106506347,0.001772516965866089,0.0495675081211345
17,16,32,22.825077056884766,22.825077056884766,True,0.0,0.0017572689056396485,0.00176763653755188,0.005899855098419063
18,16,32,22.565109252929688,22.565109252929688,True,0.0,0.0017679250240325928,0.001730334758758545,-0.021262363936851453
19,16,32,22.109416961669922,22.109416961669922,True,0.0,0.0017249810695648194,0.0016771697998046876,-0.027716982292561445
20,16,32,22.975553512573242,22.975553512573242,True,0.0,0.001802051067352295,0.0017448532581329345,-0.0317403930752083
21,16,64,28.15488624572754,28.15488624572754,True,0.0,0.0025717806816101074,0.0026027441024780275,0.012039681722990053
22,16,64,27.83683204650879,27.83683204650879,True,0.0,0.002579047679901123,0.002647721767425537,0.026627692097203545
23,16,64,27.90489959716797,27.90489959716797,True,0.0,0.0025943517684936523,0.0025442004203796386,-0.019330974589900324
24,16,64,27.07093620300293,27.07093620300293,True,0.0,0.00261857271194458,0.002700914144515991,0.03144515796556341
25,16,64,26.763362884521484,26.763362884521484,True,0.0,0.002598458528518677,0.002624228000640869,0.009917215087085793
26,16,128,35.753135681152344,35.753135681152344,True,0.0,0.0061629319190979,0.006125407218933105,-0.00608877408632602
27,16,128,35.61235046386719,35.61235046386719,True,0.0,0.006154330968856811,0.006056569814682007,-0.015884936099392705
28,16,128,36.43275833129883,36.43275833129883,True,0.0,0.006090389490127563,0.005996211767196656,-0.01546333335225417
29,16,128,35.37697219848633,35.37697219848633,True,0.0,0.006424951553344727,0.006126483678817749,-0.04645449417771879
30,16,128,35.69356918334961,35.69356918334961,True,0.0,0.006089253425598145,0.006086610555648804,-0.000434021999844916
31,32,32,31.140539169311523,31.140539169311523,True,0.0,0.0023684561252593993,0.0023927211761474608,0.010245091994433237
32,32,32,31.860116958618164,31.860116958618164,True,0.0,0.0023683559894561767,0.002368875741958618,0.00021945708531799797
33,32,32,32.02067184448242,32.02067184448242,True,0.0,0.0023254120349884035,0.0023722267150878907,0.02013177853864537
34,32,32,31.929332733154297,31.929332733154297,True,0.0,0.00240403413772583,0.002363961935043335,-0.016668732799444697
35,32,32,32.132652282714844,32.132652282714844,True,0.0,0.0023808538913726806,0.002503165006637573,0.05137279347888677
36,32,64,39.4876823425293,39.4876823425293,True,0.0,0.004736714363098145,0.004654723405838013,-0.0173096688917725
37,32,64,38.9608154296875,38.9608154296875,True,0.0,0.004982616901397705,0.0046632707118988035,-0.0640920616251512
38,32,64,39.22885513305664,39.22885513305664,True,0.0,0.004799714088439941,0.004817123413085937,0.003627158685957225
39,32,64,39.272613525390625,39.272613525390625,True,0.0,0.004715313911437988,0.00471602201461792,0.00015017095218502094
40,32,64,39.40697479248047,39.40697479248047,True,0.0,0.004655189514160156,0.004621076583862305,-0.007327935886194621
41,32,128,50.724185943603516,50.724185943603516,True,0.0,0.012175800800323487,0.012182990312576294,0.0005904755153859226
42,32,128,50.26168441772461,50.26168441772461,True,0.0,0.012725924253463744,0.012793970108032227,0.005347026527363006
43,32,128,49.6090202331543,49.6090202331543,True,0.0,0.01206179141998291,0.012039943933486938,-0.0018112969902445155
44,32,128,50.176273345947266,50.176273345947266,True,0.0,0.01223434805870056,0.01234657883644104,0.009173417104204863
45,32,128,50.71247863769531,50.71247863769531,True,0.0,0.012266519069671631,0.012241333723068237,-0.0020531779602954827
