run_id,batch_size,seq_len,l2_norm,max_value,entropy,latency
1,8,32,16.916976928710938,0.43138691782951355,3492.935791015625,0.0019951581954956053
2,8,32,15.871731758117676,0.31329333782196045,3492.737060546875,0.00185316801071167
3,8,32,16.367109298706055,0.35480624437332153,3492.99609375,0.0015831589698791504
4,8,32,16.087820053100586,0.31230559945106506,3495.082275390625,0.0013365983963012696
5,8,32,15.941360473632812,0.322756826877594,3495.07861328125,0.0013561129570007324
6,8,64,19.193435668945312,0.2576603889465332,8405.568359375,0.0017806649208068847
7,8,64,19.52316665649414,0.28286173939704895,8402.5390625,0.0016148686408996582
8,8,64,19.082046508789062,0.2942921817302704,8402.2822265625,0.0017521977424621582
9,8,64,18.97163200378418,0.24060755968093872,8402.470703125,0.001664113998413086
10,8,64,19.26628875732422,0.24433940649032593,8403.416015625,0.0016411423683166503
11,8,128,24.959436416625977,0.21934524178504944,19642.154296875,0.002818572521209717
12,8,128,25.306636810302734,0.23281383514404297,19643.8515625,0.0029303908348083498
13,8,128,25.159561157226562,0.25020474195480347,19648.7578125,0.0028387069702148437
14,8,128,25.238849639892578,0.27100327610969543,19648.248046875,0.004011726379394532
15,8,128,25.41608238220215,0.23422154784202576,19641.267578125,0.0036695361137390136
16,16,32,22.348712921142578,0.361588716506958,6987.2470703125,0.0015840768814086915
17,16,32,23.446327209472656,0.3257119953632355,6986.78662109375,0.001569819450378418
18,16,32,22.55386734008789,0.36753901839256287,6988.8603515625,0.0014915347099304199
19,16,32,23.108308792114258,0.3666885197162628,6987.212890625,0.0014081001281738281
20,16,32,22.88561248779297,0.3999970853328705,6987.0244140625,0.0014249324798583985
21,16,64,27.01583480834961,0.28213372826576233,16810.037109375,0.00239410400390625
22,16,64,27.803592681884766,0.31361204385757446,16808.64453125,0.0022336840629577637
23,16,64,26.93545150756836,0.2946581244468689,16809.79296875,0.0021646499633789064
24,16,64,28.02915382385254,0.2973760664463043,16806.775390625,0.002355504035949707
25,16,64,27.50543212890625,0.2881256639957428,16806.880859375,0.0024502754211425783
26,16,128,34.83965301513672,0.2394690215587616,39289.078125,0.005294835567474366
27,16,128,35.37355041503906,0.2695619761943817,39291.0546875,0.005757379531860352
28,16,128,35.22311019897461,0.2583586573600769,39291.22265625,0.005308234691619873
29,16,128,37.445106506347656,0.26792240142822266,39289.6796875,0.005429792404174805
30,16,128,34.988277435302734,0.2275364100933075,39290.67578125,0.005523848533630371
31,32,32,32.371238708496094,0.4137705862522125,13974.9013671875,0.0021001100540161133
32,32,32,32.18427276611328,0.3462841808795929,13968.4140625,0.002068495750427246
33,32,32,31.730939865112305,0.3271764814853668,13972.37109375,0.002119779586791992
34,32,32,31.382261276245117,0.32669875025749207,13975.810546875,0.0020938515663146973
35,32,32,31.631370544433594,0.3331003785133362,13973.2724609375,0.0020838260650634767
36,32,64,39.84545135498047,0.29379919171333313,33609.8125,0.003944766521453857
37,32,64,38.80900955200195,0.2947597801685333,33616.57421875,0.004034984111785889
38,32,64,38.9404296875,0.29991185665130615,33615.25390625,0.004029107093811035
39,32,64,38.90439224243164,0.2977895736694336,33614.2578125,0.0040422558784484865
40,32,64,38.56656265258789,0.27309608459472656,33616.546875,0.004198992252349853
41,32,128,50.05366134643555,0.2511128783226013,78577.25,0.011340570449829102
42,32,128,50.414920806884766,0.26608985662460327,78583.75,0.011028587818145752
43,32,128,50.774017333984375,0.24003645777702332,78576.640625,0.010991513729095459
44,32,128,50.452293395996094,0.2468826174736023,78583.015625,0.011043727397918701
45,32,128,49.5031623840332,0.25573939085006714,78575.609375,0.011102449893951417
